date,close,mean,std,zscore,dtype
2015-02-02,31.27,31.2393333333,1.46860704978,0.0208814649713,S
2015-03-26,50.6,50.55,4.4626881713,0.0112040093506,S
2015-04-01,51.71,51.842,3.37409924488,-0.0391215522781,S
2015-04-09,54.98,54.4126666667,3.62802281192,0.156375348983,S
2015-04-13,54.44,54.6813333333,3.59869394298,-0.0670613664727,S
2015-04-15,55.5,54.7533333333,3.74292984299,0.199487219368,S
2015-04-16,54.07,54.61,3.72387087393,-0.145010398663,S
2015-04-23,55.72,55.492,2.79265925495,0.0816426134321,S
2015-05-29,72.51,72.8726666667,6.37751347276,-0.056866468133,S
2015-06-17,80.01,80.75,5.31116882482,-0.139329029901,S
2015-06-19,68.9,80.638,5.5407235216,-2.11849588853,B
2015-06-29,59.94,76.542,7.90821020026,-2.09933721785,B
2015-08-03,34.69,50.584,7.94429247052,-2.00068162885,B
2015-08-19,45.3,46.1106666667,7.52172042124,-0.107776761335,S
2015-08-20,43.92,45.0753333333,6.56206834408,-0.176062374354,S
2015-08-25,32.02,41.124,4.5478610357,-2.00182018064,B
2015-08-26,28.82,40.0213333333,5.3769957978,-2.0831954784,B
2015-09-09,32.77,33.2273333333,6.71019317017,-0.0681550175585,S
2015-09-10,31.48,32.4726666667,6.17164074812,-0.160843235564,S
2015-09-11,32.58,31.6246666667,5.05634377599,0.188937575382,S
2015-09-25,32.07,31.9913333333,2.60275092565,0.0302244313474,S
2015-11-02,39.7,40.0,1.5279304397,-0.196344016851,S
2015-12-07,50.3,50.4546666667,3.63720235241,-0.0425235254135,S
2015-12-15,48.5,48.6433333333,2.57876123823,-0.0555822428259,S
2015-12-23,48.5,48.6266666667,1.13752027716,-0.111353326362,S
2016-01-04,41.55,47.8813333333,2.11732603153,-2.99024960683,B
2016-01-05,38.15,47.2586666667,3.28951769514,-2.76899761935,B
2016-01-06,38.69,46.6046666667,3.93662630518,-2.0105201899,B
2016-01-07,34.82,45.6546666667,4.90059306421,-2.21088887094,B
2016-01-11,30.32,43.2166666667,6.44592968654,-2.00074578747,B
